策略Turtle发送委托，2013-05-28 00:00:00,，空，1@3496.0
策略Turtle发送委托，2013-05-29 00:00:00,，空，1@3461.5
策略Turtle发送委托，2013-05-30 00:00:00,，空，1@3426.0
策略Turtle发送委托，2013-06-17 00:00:00,，多，4@3504.0
策略Turtle发送委托，2013-07-03 00:00:00,，多，1@3560.0
策略Turtle发送委托，2013-07-04 00:00:00,，多，1@3596.0
策略Turtle发送委托，2013-07-10 00:00:00,，多，1@3621.5
策略Turtle发送委托，2013-07-11 00:00:00,，多，1@3648.0
策略Turtle发送委托，2013-07-29 00:00:00,，空，4@3635.0
策略Turtle发送委托，2013-08-07 00:00:00,，多，1@3689.0
策略Turtle发送委托，2013-08-08 00:00:00,，多，1@3713.0
策略Turtle发送委托，2013-08-08 00:00:00,，多，1@3729.5
策略Turtle发送委托，2013-08-09 00:00:00,，多，1@3746.0
策略Turtle发送委托，2013-08-29 00:00:00,，空，4@3753.0
策略Turtle发送委托，2013-09-06 00:00:00,，空，1@3710.0
策略Turtle发送委托，2013-09-13 00:00:00,，空，1@3691.5
策略Turtle发送委托，2013-09-13 00:00:00,，空，1@3673.0
策略Turtle发送委托，2013-09-16 00:00:00,，空，1@3654.5
策略Turtle发送委托，2013-11-01 00:00:00,，多，4@3612.0
策略Turtle发送委托，2013-11-07 00:00:00,，多，1@3656.0
策略Turtle发送委托，2013-11-15 00:00:00,，空，1@3590.0
策略Turtle发送委托，2013-11-26 00:00:00,，多，1@3663.0
策略Turtle发送委托，2013-12-02 00:00:00,，多，1@3678.0
策略Turtle发送委托，2013-12-03 00:00:00,，多，1@3693.0
策略Turtle发送委托，2013-12-04 00:00:00,，多，1@3708.0
策略Turtle发送委托，2013-12-18 00:00:00,，空，4@3667.0
策略Turtle发送委托，2013-12-25 00:00:00,，空，1@3613.0
策略Turtle发送委托，2013-12-26 00:00:00,，空，1@3599.0
策略Turtle发送委托，2013-12-31 00:00:00,，空，1@3585.0
策略Turtle发送委托，2014-01-03 00:00:00,，空，1@3570.5
策略Turtle发送委托，2014-02-18 00:00:00,，多，4@3498.0
策略Turtle发送委托，2014-02-24 00:00:00,，空，1@3412.0
策略Turtle发送委托，2014-02-25 00:00:00,，空，1@3373.0
策略Turtle发送委托，2014-02-25 00:00:00,，空，1@3355.0
策略Turtle发送委托，2014-03-07 00:00:00,，空，1@3337.0
策略Turtle发送委托，2014-03-25 00:00:00,，多，4@3272.0
策略Turtle发送委托，2014-04-04 00:00:00,，多，1@3358.0
策略Turtle发送委托，2014-04-08 00:00:00,，多，1@3385.0
策略Turtle发送委托，2014-04-08 00:00:00,，多，1@3409.0
策略Turtle发送委托，2014-04-18 00:00:00,，空，3@3313.0
策略Turtle发送委托，2014-05-05 00:00:00,，空，1@3214.0
策略Turtle发送委托，2014-05-07 00:00:00,，空，1@3194.0
策略Turtle发送委托，2014-05-08 00:00:00,，空，1@3174.0
策略Turtle发送委托，2014-05-09 00:00:00,，空，1@3155.0
策略Turtle发送委托，2014-06-25 00:00:00,，多，4@3080.0
策略Turtle发送委托，2014-07-10 00:00:00,，多，1@3123.0
策略Turtle发送委托，2014-07-14 00:00:00,，多，1@3137.5
策略Turtle发送委托，2014-07-18 00:00:00,，空，2@3079.5
策略Turtle发送委托，2014-07-21 00:00:00,，空，1@3049.0
策略Turtle发送委托，2014-07-29 00:00:00,，多，1@3107.0
策略Turtle发送委托，2014-08-14 00:00:00,，空，1@3037.0
策略Turtle发送委托，2014-08-15 00:00:00,，空，1@3023.0
策略Turtle发送委托，2014-08-19 00:00:00,，空，1@3009.5
策略Turtle发送委托，2014-08-20 00:00:00,，空，1@2996.0
策略Turtle发送委托，2014-10-14 00:00:00,，多，4@2668.0
策略Turtle发送委托，2014-11-07 00:00:00,，空，1@2533.0
策略Turtle发送委托，2014-11-18 00:00:00,，空，1@2509.5
策略Turtle发送委托，2014-11-18 00:00:00,，空，1@2489.5
策略Turtle发送委托，2014-11-18 00:00:00,，空，1@2469.5
策略Turtle发送委托，2014-11-28 00:00:00,，多，4@2549.5
策略Turtle发送委托，2014-12-11 00:00:00,，多，1@2595.0
策略Turtle发送委托，2014-12-22 00:00:00,，空，1@2511.0
策略Turtle发送委托，2014-12-30 00:00:00,，多，1@2605.0
策略Turtle发送委托，2014-12-31 00:00:00,，多，1@2627.0
策略Turtle发送委托，2015-01-12 00:00:00,，空，2@2539.0
策略Turtle发送委托，2015-01-14 00:00:00,，空，1@2470.0
策略Turtle发送委托，2015-01-26 00:00:00,，空，1@2447.5
策略Turtle发送委托，2015-02-02 00:00:00,，多，2@2528.0
策略Turtle发送委托，2015-02-13 00:00:00,，多，1@2533.0
策略Turtle发送委托，2015-02-16 00:00:00,，多，1@2550.5
策略Turtle发送委托，2015-03-02 00:00:00,，空，2@2489.0
策略Turtle发送委托，2015-03-06 00:00:00,，空，1@2466.0
策略Turtle发送委托，2015-03-09 00:00:00,，空，1@2449.0
策略Turtle发送委托，2015-03-09 00:00:00,，空，1@2433.5
策略Turtle发送委托，2015-03-10 00:00:00,，空，1@2418.0
策略Turtle发送委托，2015-03-16 00:00:00,，多，4@2480.0
策略Turtle发送委托，2015-03-24 00:00:00,，多，1@2550.0
策略Turtle发送委托，2015-03-26 00:00:00,，空，1@2484.0
策略Turtle发送委托，2015-03-27 00:00:00,，空，1@2403.0
策略Turtle发送委托，2015-03-30 00:00:00,，多，1@2469.0
策略Turtle发送委托，2015-04-01 00:00:00,，空，1@2399.0
策略Turtle发送委托，2015-04-02 00:00:00,，空，1@2376.0
策略Turtle发送委托，2015-04-02 00:00:00,，空，1@2356.5
策略Turtle发送委托，2015-04-07 00:00:00,，空，1@2332.0
策略Turtle发送委托，2015-04-24 00:00:00,，多，4@2339.0
策略Turtle发送委托，2015-05-05 00:00:00,，多，1@2428.0
策略Turtle发送委托，2015-05-19 00:00:00,，空，1@2346.0
策略Turtle发送委托，2015-06-12 00:00:00,，空，1@2308.0
策略Turtle发送委托，2015-06-15 00:00:00,，空，1@2293.5
策略Turtle发送委托，2015-06-16 00:00:00,，空，1@2278.5
策略Turtle发送委托，2015-06-16 00:00:00,，空，1@2263.0
策略Turtle发送委托，2015-07-21 00:00:00,，多，4@2105.0
策略Turtle发送委托，2015-08-24 00:00:00,，空，1@2024.0
策略Turtle发送委托，2015-08-25 00:00:00,，空，1@1939.0
策略Turtle发送委托，2015-09-07 00:00:00,，空，1@1919.0
策略Turtle发送委托，2015-09-07 00:00:00,，空，1@1901.5
策略Turtle发送委托，2015-09-09 00:00:00,，多，4@1971.5
策略Turtle发送委托，2015-09-28 00:00:00,，空，1@1861.0
策略Turtle发送委托，2015-09-29 00:00:00,，空，1@1845.0
策略Turtle发送委托，2015-09-30 00:00:00,，空，1@1828.5
策略Turtle发送委托，2015-10-19 00:00:00,，空，1@1812.0
策略Turtle发送委托，2015-12-15 00:00:00,，多，4@1668.0
策略Turtle发送委托，2015-12-21 00:00:00,，多，1@1720.0
策略Turtle发送委托，2015-12-22 00:00:00,，多，1@1753.0
策略Turtle发送委托，2015-12-22 00:00:00,，多，1@1767.5
策略Turtle发送委托，2015-12-29 00:00:00,，多，1@1782.5
策略Turtle发送委托，2016-01-13 00:00:00,，空，4@1739.0
策略Turtle发送委托，2016-01-22 00:00:00,，多，1@1847.0
策略Turtle发送委托，2016-01-27 00:00:00,，多，1@1862.5
策略Turtle发送委托，2016-02-02 00:00:00,，空，2@1805.0
策略Turtle发送委托，2016-02-15 00:00:00,，多，1@1868.0
策略Turtle发送委托，2016-02-19 00:00:00,，多，1@1882.0
策略Turtle发送委托，2016-02-22 00:00:00,，多，1@1896.0
策略Turtle发送委托，2016-02-22 00:00:00,，多，1@1910.0
策略Turtle发送委托，2016-05-04 00:00:00,，空，4@2393.0
策略Turtle发送委托，2016-05-09 00:00:00,，空，1@2190.0
策略Turtle发送委托，2016-05-10 00:00:00,，空，1@2098.0
策略Turtle发送委托，2016-05-13 00:00:00,，空，1@2051.0
策略Turtle发送委托，2016-05-13 00:00:00,，空，1@2003.5
策略Turtle发送委托，2016-06-06 00:00:00,，多，4@2063.0
策略Turtle发送委托，2016-06-13 00:00:00,，多，1@2152.0
策略Turtle发送委托，2016-06-27 00:00:00,，多，1@2186.0
策略Turtle发送委托，2016-06-27 00:00:00,，多，1@2220.0
策略Turtle发送委托，2016-06-27 00:00:00,，多，1@2254.0
